451525,1,11
214797,31,1173
92253,16,164
160082,13,8044
253902,2,52
126362,1,61
307878,20,1587
324657,30,38237
427309,31,881
608799,6,11828
165604,12,50
401654,11,2317
509332,25,11654
17155,6,482
359175,2,339
59813,27,4666
619574,7,2089
16774,31,911
55829,5,911
51531,22,765
655698,14,34138
107226,2,843
485344,2,753
573705,26,1531
109749,11,448
531805,20,1015
263707,32,126835
6146,29,1661
595302,12,2276
630406,19,2231
497469,31,12440
648405,24,1190
125028,3,214
39590,18,11514
20345,3,390
14392,1,29
508800,12,1158
314029,15,79
678792,31,10359
434972,31,1426
56398,30,14840
214724,31,6298
355467,6,2292
537751,31,16982
78542,4,596
12217,31,29998
256765,24,4431
301669,18,15301
650946,11,19105
329204,5,8758
550439,4,3137
393994,31,3457
627896,31,26290
447911,31,2642
343656,18,1984
189788,3,164
74758,31,12214
327231,5,1162
356405,4,545
7514,19,10129
329869,31,132036
327086,1,35
43158,4,3977
526464,31,10397
85932,5,1006
359840,31,1913
243646,31,40552
225398,32,53712
391868,11,3215
723442,1,1331
578474,31,3521
179292,25,21114
215117,1,285
12182,1,230
435131,2,15346
458140,5,2318
366147,19,2138
339537,11,5516
49865,25,1331
245936,31,1435
651128,31,506
181375,31,96388
249862,2,140
412448,31,2143
398965,6,5644
698591,30,1623
38253,5,5003
171468,31,2411
325487,31,26957
561606,7,3459
42067,31,14398
717943,13,2857
419943,31,6270
319018,32,36987
571892,13,12352
524909,31,9649
340079,31,20529
392723,1,252
661362,27,73135
535513,6,980
637938,17,667
94145,24,6834
139632,31,720
529839,17,47
247975,17,608
602978,3,788
519464,6,674
563411,6,1167
312892,2,287
124737,26,1411
101108,2,677
352136,31,63828
306834,32,57810
377903,31,412
358442,1,15
513708,4,3440
529660,9,8387
273274,12,6754
517875,2,137
375161,31,6473
27428,32,86785
186268,31,1867
255621,23,9280
696966,2,466
700925,4,289
162243,7,2982
613949,22,15745
315793,31,464
162451,16,4766
349709,2,23
482747,28,10579
541655,32,23468
301907,31,3704
110806,29,4075
602308,31,4559
333771,18,39091
446026,3,200
674543,2,98
665282,2,527
667492,12,3149
545669,5,38
430302,1,1699
194360,1,92
569174,9,1339
640433,30,358
51903,31,39736
397827,4,2886
735406,31,8265
475330,5,88
92721,32,2264
368948,3,26
574637,27,13327
314334,13,8021
457030,15,4437
390989,31,932
289382,10,166
467461,3,134
139712,31,6136
467125,3,1437
684475,10,1048
90084,32,16434
415875,31,7249
161439,5,6706
323723,2,68
98387,11,3258
454019,1,283
580452,2,371
427224,18,15967
433189,32,49036
492643,12,2305
552337,3,23854
620800,31,117
359184,5,2298
35559,31,43974
605068,31,40544
445543,2,249
15908,23,740
730405,2,504
60301,10,6144
385927,32,36577
713314,3,550
707539,3,230
642914,1,114
97522,26,2231
471029,31,261
385299,31,32801
134699,6,1026
525615,4,4422
689305,2,355
599543,11,2253
343577,2,32
557047,4,538
381362,20,35917
203352,27,25920
162250,24,32114
678982,31,29641
116540,18,293
271601,27,7598
321031,31,774
642295,2,319
568031,31,40805
456774,31,658
361178,31,1522
448768,9,7457
473272,3,645
233890,31,51924
213012,1,441
450498,31,2041
684938,29,315
170118,13,233
620755,9,3036
217990,1,29
425810,25,3282
77863,22,1875
122122,25,8641
355499,32,15119
37387,4,167
698740,19,11327
5002,19,2929
359214,7,317
509136,3,23488
221751,24,3437
466502,19,7952
613850,3,228
219144,4,73
461351,27,388
725482,9,46142
559800,31,3889
669603,31,8635
446481,6,501
445315,9,30
298913,24,9322
281936,29,136
186172,16,1465
476095,31,63521
577707,16,422
407539,11,16990
514766,21,21087
584610,15,7439
356967,31,20727
425946,4,11768
450560,4,61
402191,4,669
428178,7,279
52131,20,4312
195386,1,95
326755,19,11646
625711,4,2357
293357,1,25
507095,32,70704
76453,32,58983
36987,3,202
89766,27,18934
667089,31,1699
603310,10,14337
390793,19,3945
62381,25,18684
171573,12,5077
515629,21,10219
650585,8,222
644926,10,2051
728175,27,3991
223363,6,1272
653506,32,48377
178539,28,339
27422,31,377
88635,2,295
731285,31,7125
291311,16,11481
377300,2,25
399096,31,53497
685337,6,6578
83867,18,19188
427434,31,13525
186369,9,41367
131988,21,20623
103102,28,11361
